locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBENKMEN_00074	CDS	1860	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
OBENKMEN_00075	CDS	285	rplY		COG1825	50S ribosomal protein L25
OBENKMEN_00076	CDS	1758	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
OBENKMEN_00077	CDS	708	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
OBENKMEN_00078	CDS	528				hypothetical protein
OBENKMEN_00079	CDS	399				hypothetical protein
OBENKMEN_00080	CDS	441				hypothetical protein
OBENKMEN_00081	CDS	213	cspG_1		COG1278	Cold shock-like protein CspG
OBENKMEN_00082	CDS	213	cspG_2		COG1278	Cold shock-like protein CspG
OBENKMEN_00083	CDS	468	slyB_1		COG3133	Outer membrane lipoprotein SlyB
OBENKMEN_00084	CDS	813				hypothetical protein
OBENKMEN_00085	CDS	891	Hgd	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
OBENKMEN_00086	CDS	396				hypothetical protein
OBENKMEN_00087	CDS	1365	proP_1			Proline/betaine transporter
OBENKMEN_00088	CDS	663	mcbR		COG1802	HTH-type transcriptional regulator McbR
OBENKMEN_00089	CDS	477				hypothetical protein
OBENKMEN_00090	CDS	954	ydgH			Protein YdgH
OBENKMEN_00091	CDS	1392	ydgI		COG0531	Putative arginine/ornithine antiporter
OBENKMEN_00092	CDS	417				hypothetical protein
OBENKMEN_00093	CDS	747	rstA		COG0745	Transcriptional regulatory protein RstA
OBENKMEN_00094	CDS	1257	rstB	2.7.13.3		Sensor protein RstB
OBENKMEN_00095	CDS	1500		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
OBENKMEN_00096	CDS	1638	nadB	1.4.3.16	COG0029	L-aspartate oxidase
OBENKMEN_00097	CDS	576	rpoE			ECF RNA polymerase sigma-E factor
OBENKMEN_00098	CDS	657	rseA		COG3073	Anti-sigma-E factor RseA
OBENKMEN_00099	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
OBENKMEN_00100	CDS	456	rseC		COG3086	Protein RseC
OBENKMEN_00101	CDS	273				hypothetical protein
OBENKMEN_00102	CDS	2187				hypothetical protein
OBENKMEN_00103	CDS	3114		4.2.2.20		Chondroitin sulfate ABC endolyase
OBENKMEN_00104	CDS	312				hypothetical protein
OBENKMEN_00105	CDS	399	sycT			Chaperone protein SycT
OBENKMEN_00106	CDS	969	yopT	3.4.22.-		Cysteine protease YopT
OBENKMEN_00107	CDS	549				hypothetical protein
OBENKMEN_00108	CDS	618	ylpA			Lipoprotein YlpA
OBENKMEN_00109	CDS	348	rplS		COG0335	50S ribosomal protein L19
OBENKMEN_00110	CDS	741	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
OBENKMEN_00111	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
OBENKMEN_00112	CDS	249	rpsP		COG0228	30S ribosomal protein S16
OBENKMEN_00113	CDS	1362	ffh		COG0541	Signal recognition particle protein
OBENKMEN_00114	CDS	792	ypjD		COG4137	Inner membrane protein YpjD
OBENKMEN_00115	CDS	1284				hypothetical protein
OBENKMEN_00116	CDS	747	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
OBENKMEN_00117	CDS	393	panM			PanD regulatory factor
OBENKMEN_00118	CDS	1116	livK		COG0683	Leucine-specific-binding protein
OBENKMEN_00119	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
OBENKMEN_00120	CDS	1287				hypothetical protein
OBENKMEN_00121	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OBENKMEN_00122	CDS	702	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
OBENKMEN_00123	CDS	459				hypothetical protein
OBENKMEN_00124	CDS	1107				hypothetical protein
OBENKMEN_00125	CDS	519				hypothetical protein
OBENKMEN_00126	CDS	648				hypothetical protein
OBENKMEN_00127	CDS	687				hypothetical protein
OBENKMEN_00128	CDS	1989				hypothetical protein
OBENKMEN_00129	CDS	1074	aroP_1		COG1113	Aromatic amino acid transport protein AroP
OBENKMEN_00130	CDS	1461	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
OBENKMEN_00131	CDS	564	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
OBENKMEN_00132	CDS	696	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
OBENKMEN_00133	CDS	888	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
OBENKMEN_00134	CDS	840	murR		COG1737	HTH-type transcriptional regulator MurR
OBENKMEN_00135	CDS	261	yfhL		COG1145	Ferredoxin YfhL
OBENKMEN_00136	CDS	1044				hypothetical protein
OBENKMEN_00137	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
OBENKMEN_00138	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
OBENKMEN_00139	CDS	723	lexA_1	3.4.21.88		LexA repressor
OBENKMEN_00140	CDS	480				hypothetical protein
OBENKMEN_00141	CDS	1305	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
OBENKMEN_00142	CDS	630	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
OBENKMEN_00143	CDS	810	srlR_1		COG1349	Glucitol operon repressor
OBENKMEN_00144	CDS	795	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
OBENKMEN_00145	CDS	291				hypothetical protein
OBENKMEN_00146	CDS	618				hypothetical protein
OBENKMEN_00147	CDS	195				hypothetical protein
OBENKMEN_00148	CDS	1509				hypothetical protein
OBENKMEN_00149	CDS	369				hypothetical protein
OBENKMEN_00150	CDS	300				hypothetical protein
OBENKMEN_00151	CDS	1494				hypothetical protein
OBENKMEN_00152	CDS	423				hypothetical protein
OBENKMEN_00153	CDS	441				hypothetical protein
OBENKMEN_00154	CDS	501	rhaS_1			HTH-type transcriptional activator RhaS
OBENKMEN_00155	CDS	216				hypothetical protein
OBENKMEN_00156	CDS	249				hypothetical protein
OBENKMEN_00157	CDS	252				hypothetical protein
OBENKMEN_00158	CDS	732				hypothetical protein
OBENKMEN_00159	CDS	594				hypothetical protein
OBENKMEN_00160	CDS	648				hypothetical protein
OBENKMEN_00161	CDS	2049	ssaV		COG4789	Secretion system apparatus protein SsaV
OBENKMEN_00162	CDS	1338	ssaN	7.1.2.2	COG1157	putative secretion system apparatus ATP synthase SsaN
OBENKMEN_00163	CDS	402				hypothetical protein
OBENKMEN_00164	CDS	399				hypothetical protein
OBENKMEN_00165	CDS	963				hypothetical protein
OBENKMEN_00166	CDS	711	spaP_1		COG4790	Surface presentation of antigens protein SpaP
OBENKMEN_00167	CDS	294	spaQ_1		COG4794	Surface presentation of antigens protein SpaQ
OBENKMEN_00168	CDS	795				hypothetical protein
OBENKMEN_00169	CDS	1068	yscU_1			Yop proteins translocation protein U
OBENKMEN_00170	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
OBENKMEN_00171	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
OBENKMEN_00172	CDS	726	recO		COG1381	DNA repair protein RecO
OBENKMEN_00173	CDS	912	era		COG1159	GTPase Era
OBENKMEN_00174	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
OBENKMEN_00175	CDS	999	lepB	3.4.21.89	COG0681	Signal peptidase I
OBENKMEN_00176	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
OBENKMEN_00177	CDS	1131	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
OBENKMEN_00178	CDS	816	thiG	2.8.1.10	COG2022	Thiazole synthase
OBENKMEN_00179	CDS	216	thiS		COG2104	Sulfur carrier protein ThiS
OBENKMEN_00180	CDS	798	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
OBENKMEN_00181	CDS	675	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
OBENKMEN_00182	CDS	2046	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
OBENKMEN_00183	CDS	510	rsd		COG3160	Regulator of sigma D
OBENKMEN_00184	CDS	783	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
OBENKMEN_00185	CDS	786				hypothetical protein
OBENKMEN_00186	CDS	1068	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
OBENKMEN_00187	CDS	741	nfi	3.1.21.7	COG1515	Endonuclease V
OBENKMEN_00188	CDS	591			COG3068	putative protein
OBENKMEN_00189	CDS	276	hupA			DNA-binding protein HU-alpha
OBENKMEN_00190	CDS	654				hypothetical protein
OBENKMEN_00191	CDS	1287	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
OBENKMEN_00192	CDS	1590	purH		COG0138	Bifunctional purine biosynthesis protein PurH
OBENKMEN_00193	CDS	1020	cytR_1		COG1609	HTH-type transcriptional repressor CytR
OBENKMEN_00194	CDS	1380	sdcS			Sodium-dependent dicarboxylate transporter SdcS
OBENKMEN_00195	CDS	414				hypothetical protein
OBENKMEN_00196	CDS	243				hypothetical protein
OBENKMEN_00197	CDS	4053				hypothetical protein
OBENKMEN_00198	CDS	1320				hypothetical protein
OBENKMEN_00199	CDS	2226				hypothetical protein
OBENKMEN_00200	CDS	318				hypothetical protein
OBENKMEN_00201	CDS	1110				hypothetical protein
OBENKMEN_00202	CDS	1431	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
	repeat_region	208				
OBENKMEN_00203	CDS	1392	plaP		COG0531	Low-affinity putrescine importer PlaP
OBENKMEN_00204	CDS	216				hypothetical protein
OBENKMEN_00205	CDS	1092	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
OBENKMEN_00206	CDS	894	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
OBENKMEN_00207	CDS	690	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
OBENKMEN_00208	CDS	996	rbsC_1		COG1172	Ribose import permease protein RbsC
OBENKMEN_00209	CDS	426				hypothetical protein
OBENKMEN_00210	CDS	432				IS21 family transposase IS21
OBENKMEN_00211	CDS	1173				hypothetical protein
OBENKMEN_00212	CDS	405				hypothetical protein
OBENKMEN_00213	CDS	168				hypothetical protein
OBENKMEN_00214	CDS	198				hypothetical protein
OBENKMEN_00215	CDS	1083				hypothetical protein
OBENKMEN_00216	CDS	1275				hypothetical protein
OBENKMEN_00217	CDS	1935				hypothetical protein
OBENKMEN_00218	CDS	771	mipA		COG3713	MltA-interacting protein
OBENKMEN_00219	CDS	876	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
OBENKMEN_00220	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
OBENKMEN_00221	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
OBENKMEN_00222	CDS	375				hypothetical protein
OBENKMEN_00223	CDS	648	pncA	3.5.1.19	COG1335	Nicotinamidase
OBENKMEN_00224	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
OBENKMEN_00225	CDS	1851	sppA	3.4.21.-	COG0616	Protease 4
OBENKMEN_00226	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
OBENKMEN_00227	CDS	1047	selD	2.7.9.3	COG0709	Selenide, water dikinase
OBENKMEN_00228	CDS	1926	topB	5.6.2.1	COG0550	DNA topoisomerase 3
OBENKMEN_00229	CDS	291				hypothetical protein
OBENKMEN_00230	CDS	387	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
OBENKMEN_00231	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
OBENKMEN_00232	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
OBENKMEN_00233	CDS	1728	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
OBENKMEN_00234	CDS	1806		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
OBENKMEN_00235	CDS	957	leuO			HTH-type transcriptional regulator LeuO
OBENKMEN_00236	CDS	216				hypothetical protein
OBENKMEN_00237	CDS	1293	amaB	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
OBENKMEN_00238	CDS	372				hypothetical protein
OBENKMEN_00239	CDS	2154	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
OBENKMEN_00240	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
OBENKMEN_00241	CDS	456				hypothetical protein
OBENKMEN_00242	CDS	495				hypothetical protein
OBENKMEN_00243	CDS	663	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
OBENKMEN_00244	CDS	1833				hypothetical protein
OBENKMEN_00245	CDS	594	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
OBENKMEN_00246	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
OBENKMEN_00247	CDS	1644	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
OBENKMEN_00248	CDS	312	bsmA			Lipoprotein BsmA
OBENKMEN_00249	CDS	99				hypothetical protein
OBENKMEN_00250	CDS	375	mntP_1		COG1971	putative manganese efflux pump MntP
OBENKMEN_00251	CDS	462				hypothetical protein
OBENKMEN_00252	CDS	879	manZ_1		COG3716	PTS system mannose-specific EIID component
OBENKMEN_00253	CDS	798	manY		COG3715	PTS system mannose-specific EIIC component
OBENKMEN_00254	CDS	975	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
OBENKMEN_00255	CDS	156				hypothetical protein
OBENKMEN_00256	CDS	1344				hypothetical protein
OBENKMEN_00257	CDS	468				hypothetical protein
OBENKMEN_00258	CDS	459	traI			Multifunctional conjugation protein TraI
OBENKMEN_00259	CDS	963	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
OBENKMEN_00260	CDS	1317	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
OBENKMEN_00261	CDS	957	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
OBENKMEN_00262	CDS	762	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
OBENKMEN_00263	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
OBENKMEN_00264	CDS	1005	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
OBENKMEN_00265	CDS	615	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
OBENKMEN_00266	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
OBENKMEN_00267	CDS	744	yebC		COG0217	putative transcriptional regulatory protein YebC
OBENKMEN_00268	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
OBENKMEN_00269	CDS	1797	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
OBENKMEN_00270	CDS	711	uhpB_1	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
OBENKMEN_00271	CDS	1332	uhpC		COG2271	Membrane sensor protein UhpC
OBENKMEN_00272	tRNA	77				tRNA-Pro(tgg)
OBENKMEN_00273	CDS	531	ygjV			Inner membrane protein YgjV
OBENKMEN_00274	CDS	1491	uxaA	4.2.1.7	COG2721	Altronate dehydratase
OBENKMEN_00275	CDS	1239	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
OBENKMEN_00276	tRNA	76				tRNA-Ala(tgc)
OBENKMEN_00277	tRNA	77				tRNA-Ile(gat)
OBENKMEN_00278	CDS	606				hypothetical protein
OBENKMEN_00279	CDS	699	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
OBENKMEN_00280	CDS	1905	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
OBENKMEN_00281	CDS	345	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
OBENKMEN_00282	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
OBENKMEN_00283	CDS	444	mdtJ_1			Spermidine export protein MdtJ
OBENKMEN_00284	CDS	642	eda		COG0800	KHG/KDPG aldolase
OBENKMEN_00285	CDS	192				hypothetical protein
OBENKMEN_00286	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
OBENKMEN_00287	CDS	906	hexR_1		COG1737	HTH-type transcriptional regulator HexR
OBENKMEN_00288	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
OBENKMEN_00289	CDS	1419				hypothetical protein
OBENKMEN_00290	CDS	810				hypothetical protein
OBENKMEN_00291	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
OBENKMEN_00292	CDS	3129	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
OBENKMEN_00293	CDS	255	ulaB	2.7.1.194		Ascorbate-specific PTS system EIIB component
OBENKMEN_00294	CDS	444	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
OBENKMEN_00295	CDS	1035	gntR_1			HTH-type transcriptional regulator GntR
OBENKMEN_00296	CDS	858	rpoH		COG0568	RNA polymerase sigma factor RpoH
OBENKMEN_00297	CDS	954	ftsX		COG2177	Cell division protein FtsX
OBENKMEN_00298	CDS	669	ftsE_1		COG2884	Cell division ATP-binding protein FtsE
OBENKMEN_00299	CDS	852	ftsY		COG0552	Signal recognition particle receptor FtsY
OBENKMEN_00300	CDS	639				hypothetical protein
OBENKMEN_00301	CDS	2379	htrE_1		COG3188	Outer membrane usher protein HtrE
OBENKMEN_00302	CDS	744				hypothetical protein
OBENKMEN_00303	CDS	255	yihN_1			Inner membrane protein YihN
OBENKMEN_00304	CDS	1320				hypothetical protein
OBENKMEN_00305	CDS	1308	aceA	4.1.3.1	COG2224	Isocitrate lyase
OBENKMEN_00306	CDS	1599	aceB	2.3.3.9	COG2225	Malate synthase A
OBENKMEN_00307	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
OBENKMEN_00308	CDS	273				hypothetical protein
OBENKMEN_00309	rRNA	111				5S ribosomal RNA
OBENKMEN_00310	tRNA	76				tRNA-Thr(ggt)
OBENKMEN_00311	rRNA	84				5S ribosomal RNA (partial)
OBENKMEN_00312	CDS	402	bmaC			Adhesin BmaC autotransporter
OBENKMEN_00313	CDS	2877				hypothetical protein
OBENKMEN_00314	CDS	702				hypothetical protein
OBENKMEN_00315	CDS	1674	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
OBENKMEN_00316	CDS	1611	tap		COG0840	Methyl-accepting chemotaxis protein IV
OBENKMEN_00317	CDS	888	cheR	2.1.1.80		Chemotaxis protein methyltransferase
OBENKMEN_00318	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
OBENKMEN_00319	CDS	390	cheY		COG0784	Chemotaxis protein CheY
OBENKMEN_00320	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
OBENKMEN_00321	CDS	765	amiD_1	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
OBENKMEN_00322	CDS	300				hypothetical protein
OBENKMEN_00323	CDS	936				hypothetical protein
OBENKMEN_00324	CDS	510				hypothetical protein
OBENKMEN_00325	CDS	252				hypothetical protein
OBENKMEN_00326	CDS	384				hypothetical protein
OBENKMEN_00327	CDS	1236	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
OBENKMEN_00328	CDS	525	yodB		COG3038	Cytochrome b561 
OBENKMEN_00329	CDS	432	hicB		COG1598	Antitoxin HicB
OBENKMEN_00330	CDS	672			COG1462	Putative lipoprotein/NMB1164
OBENKMEN_00331	CDS	357				hypothetical protein
OBENKMEN_00332	CDS	657			COG4380	Putative lipoprotein/NMB1162
OBENKMEN_00333	CDS	570	napF_1		COG1145	Ferredoxin-type protein NapF
OBENKMEN_00334	CDS	597	dmsD_1		COG3381	Tat proofreading chaperone DmsD
OBENKMEN_00335	CDS	450	sctC_1			Type 3 secretion system secretin
OBENKMEN_00336	CDS	855				hypothetical protein
OBENKMEN_00337	CDS	867				hypothetical protein
OBENKMEN_00338	CDS	423				hypothetical protein
OBENKMEN_00339	CDS	582				hypothetical protein
OBENKMEN_00340	CDS	309	roxA_1	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
OBENKMEN_00341	CDS	1527	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
OBENKMEN_00342	CDS	1395	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
OBENKMEN_00343	CDS	3891	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
OBENKMEN_00344	CDS	534	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
OBENKMEN_00345	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
OBENKMEN_00346	CDS	477	yigZ		COG1739	IMPACT family member YigZ
OBENKMEN_00347	tRNA	92				tRNA-Ile(gat)
OBENKMEN_00348	CDS	360				hypothetical protein
OBENKMEN_00349	CDS	870	mscS		COG0668	Small-conductance mechanosensitive channel
OBENKMEN_00350	CDS	1206	fliC			A-type flagellin
OBENKMEN_00351	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
OBENKMEN_00352	CDS	777	tam	2.1.1.144	COG4106	Trans-aconitate 2-methyltransferase
OBENKMEN_00353	CDS	498				hypothetical protein
OBENKMEN_00354	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
OBENKMEN_00355	CDS	525	ompX		COG3637	Outer membrane protein X
